URN,OFFSET,EXTENT
URN:NBN:no-nb_dra_2008-15398P,142,153
URN:NBN:no-nb_dra_2004-02385D,2353,1998
URN:NBN:no-nb_dra_2004-03610Y,3780,360
URN:NBN:no-nb_dra_2004-17398P,0,930
URN:NBN:no-nb_dra_2001-01137Y,2488,203
URN:NBN:no-nb_dra_1995-00252Y,1682,1471
URN:NBN:no-nb_dra_2004-00327D,0,-1
URN:NBN:no-nb_dra_2008-15942D,98,382
URN:NBN:no-nb_dra_2008-16104D,230,289
URN:NBN:no-nb_dra_2004-00345D,0,-1
URN:NBN:no-nb_dra_1992-00022P,120,77
URN:NBN:no-nb_dra_1992-01262P,850,100
URN:NBN:no-nb_dra_1992-01783P,682,50